PMI                          | t-score                      | Dice                        
йермунд бьонс        -0.0645 | таким образом        55.4342 | йермунд бьонс            inf
пересмотраздесь п... -0.0645 | самом деле           47.8531 | пересмотраздесь п...     inf
рациональность ст... -0.0645 | точки зрения         39.5054 | рациональность ст...     inf
дельфинах наоборо... -0.0645 | данный момент        32.5452 | дельфинах наоборо...     inf
демократическому ... -0.0645 | нам нужно            31.8638 | демократическому ...     inf
незагрязненную ат... -0.0645 | сих пор              30.6170 | незагрязненную ат...     inf
феодальным обществам -0.0645 | первую очередь       30.3124 | феодальным обществам     inf
обществам беспоря... -0.0645 | друг друга           29.1769 | обществам беспоря...     inf
моногамии анимист... -0.0645 | данном случае        29.1636 | моногамии анимист...     inf
теистические рели... -0.0645 | лет назад            28.7833 | теистические рели...     inf
религиив индустри... -0.0645 | представляет собой   28.2777 | религиив индустри...     inf
джони айв            -0.0645 | это очень            26.9073 | джони айв                inf
урезаться высвобо... -0.0645 | следующим образом    26.7864 | карина хачатурян         inf
канобуру прочиепр... -0.0645 | обратите внимание    26.7240 | урезаться высвобо...     inf
нобл уилфорд         -0.0645 | тех пор              26.5877 | канобуру прочиепр...     inf
стевин фламандский   -0.0645 | это значит           26.5254 | нобл уилфорд             inf
фламандский естес... -0.0645 | которые могут        25.9691 | стевин фламандский       inf
фридрихом вильгел... -0.0645 | это означает         25.3184 | фламандский естес...     inf
вильгельмом бесселем -0.0645 | крайней мере         25.2908 | фридрихом вильгел...     inf
децсо пекар          -0.0645 | несколько лет        24.8041 | вильгельмом бесселем     inf
пекар джено          -0.0645 | программного обес... 24.3653 | децсо пекар              inf
джено фекете         -0.0645 | большое количество   24.3223 | пекар джено              inf
фекете смахнули      -0.0645 | это просто           23.5402 | джено фекете             inf
джанос реннер        -0.0645 | нашем случае         23.4313 | фекете смахнули          inf
кариком талмаджем    -0.0645 | базы данных          23.0583 | джанос реннер            inf
ясунори фуджи        -0.0645 | большая часть        22.4614 | кариком талмаджем        inf
фуджи исследовавшей  -0.0645 | одной стороны        22.1956 | ясунори фуджи            inf
тибергером брукхэ... -0.0645 | друг другом          21.9815 | фуджи исследовавшей      inf
подводом воздухаа... -0.0645 | любом случае         21.9723 | тибергером брукхэ...     inf
православному цер... -0.0645 | настоящее время      21.5683 | подводом воздухаа...     inf
богослужения смес... -0.0645 | машинного обучения   21.4155 | православному цер...     inf
афганистана ашраф    -0.0645 | речь идет            21.3335 | богослужения смес...     inf
ашраф гани           -0.0645 | это время            21.0281 | афганистана ашраф        inf
бутана тобгай        -0.0645 | это сделать          20.8612 | ашраф гани               inf
тобгай церинг        -0.0645 | некоторое время      20.8458 | бутана тобгай            inf
марксист преображ... -0.0645 | стоит отметить       20.7355 | тобгай церинг            inf
клоковых доменовхотя -0.0645 | которые будут        20.2505 | марксист преображ...     inf
закоренелые самол... -0.0645 | каждый день          20.1175 | клоковых доменовхотя     inf
самолетчики верто... -0.0645 | программное обесп... 19.7713 | закоренелые самол...     inf
материалыуслуги п... -0.0645 | прошлом году         19.7519 | самолетчики верто...     inf
лихой спецназ        -0.0645 | большинстве случаев  19.7159 | материалыуслуги п...     inf
пухлая двуглазая     -0.0645 | конце концов         19.6396 | лихой спецназ            inf
крутов центробанке   -0.0645 | это позволяет        19.6075 | пухлая двуглазая         inf
новгородскому вме... -0.0645 | операционной системы 19.5089 | крутов центробанке       inf
андромеде андромеду  -0.0645 | огромное количество  19.4866 | новгородскому вме...     inf
андромеду млечному   -0.0645 | всему миру           19.4624 | андромеде андромеду      inf
комуоррен баффеткак  -0.0645 | исходный код         19.2804 | андромеду млечному       inf
