PMI                          | t-score                      | Dice                        
днусвою среднегод... -0.0645 | пор пока             19.2477 | вильями куосманен        inf
маркеттаймингом п... -0.0645 | передачи данных      19.0542 | комуоррен баффеткак      inf
предраковое состо... -0.0645 | сегодняшний день     18.8822 | днусвою среднегод...     inf
страхуют суперкат... -0.0645 | таком случае         18.8596 | маркеттаймингом п...     inf
убраликстати мэдо... -0.0645 | сделать это          18.8584 | предраковое состо...     inf
надувание макропу... -0.0645 | оперативной памяти   18.8004 | страхуют суперкат...     inf
продавало ипотечную  -0.0645 | реальном времени     18.6655 | убраликстати мэдо...     inf
джиебо луо           -0.0645 | т д                  18.6234 | надувание макропу...     inf
альмы тришке         -0.0645 | обратить внимание    18.6149 | продавало ипотечную      inf
неохлаждаемым див... -0.0645 | первый взгляд        18.5517 | джиебо луо               inf
эльбеза кузбассе     -0.0645 | последнее время      18.5359 | альмы тришке             inf
новочебоксарск чу... -0.0645 | большую часть        17.9497 | неохлаждаемым див...     inf
уппландс весбю       -0.0645 | это работает         17.9211 | эльбеза кузбассе         inf
камило зитте         -0.0645 | именно поэтому       17.9084 | новочебоксарск чу...     inf
зитте градостроитель -0.0645 | имеет смысл          17.8944 | ванесса толос            inf
проектазадачи тпк... -0.0645 | самое главное        17.8872 | уппландс весбю           inf
лазурным тдвлияния   -0.0645 | друг другу           17.8812 | камило зитте             inf
неперепрыгивайте ... -0.0645 | будем использовать   17.5107 | зитте градостроитель     inf
командкоманды сбо... -0.0645 | некоторых случаях    17.4975 | проектазадачи тпк...     inf
раул шеуол           -0.0645 | очень важно          17.3253 | лазурным тдвлияния       inf
непокорного битто... -0.0645 | виртуальной реаль... 17.1969 | неперепрыгивайте ...     inf
итархитекторуумен... -0.0645 | другими словами      17.1336 | командкоманды сбо...     inf
рельсывысокая обу... -0.0645 | это лишь             17.1054 | раул шеуол               inf
обойтинеобъективн... -0.0645 | какойто момент       17.0984 | непокорного битто...     inf
зарплатойнавык са... -0.0645 | реального времени    17.0485 | итархитекторуумен...     inf
облажатьсявместо ... -0.0645 | искусственного ин... 17.0277 | рельсывысокая обу...     inf
навыкамине врезае... -0.0645 | внешний вид          16.8738 | обойтинеобъективн...     inf
котиках собачках     -0.0645 | очень быстро         16.7530 | зарплатойнавык са...     inf
обвешанная талисм... -0.0645 | несколько месяцев    16.5672 | облажатьсявместо ...     inf
святотихоновский ... -0.0645 | давайте посмотрим    16.4712 | навыкамине врезае...     inf
святителя филарета   -0.0645 | хранения данных      16.4672 | шерлоком холмсом         inf
филарета митрополита -0.0645 | получить доступ      16.2631 | котиках собачках         inf
патриархата митро... -0.0645 | т е                  16.2444 | обвешанная талисм...     inf
митрополит волоко... -0.0645 | который позволяет    16.1980 | святотихоновский ...     inf
волоколамский ила... -0.0645 | большим количеством  16.0551 | святителя филарета       inf
религиоведения те... -0.0645 | это происходит       16.0513 | филарета митрополита     inf
кардифф шеффилд      -0.0645 | несколько дней       16.0268 | патриархата митро...     inf
шеффилд ньюкасл      -0.0645 | года назад           15.9285 | митрополит волоко...     inf
грудок килограмму    -0.0645 | можете использовать  15.9236 | волоколамский ила...     inf
хайленда гленко      -0.0645 | большого количества  15.9231 | религиоведения те...     inf
гленко гленмур       -0.0645 | нужно сделать        15.8678 | кардифф шеффилд          inf
кодировщиков деко... -0.0645 | время работы         15.8517 | шеффилд ньюкасл          inf
автокодировщику д... -0.0645 | тысяч рублей         15.8384 | грудок килограмму        inf
автозамены предза... -0.0645 | данной статье        15.8367 | хайленда гленко          inf
солодовниковаоля ... -0.0645 | долгое время         15.7989 | гленко гленмур           inf
контекстепосле вг... -0.0645 | момент времени       15.7837 | кодировщиков деко...     inf
джоя гилфорда        -0.0645 | каким образом        15.7660 | автокодировщику д...     inf
тдтайминг минуткак   -0.0645 | какоето время        15.7253 | автозамены предза...     inf
продуктатайминг м... -0.0645 | информационной бе... 15.6712 | солодовниковаоля ...     inf
брейнштормингетай... -0.0645 | противном случае     15.6611 | контекстепосле вг...     inf
брейнштормингатай... -0.0645 | ближайшее время      15.6057 | джоя гилфорда            inf
гипотезвопросов б... -0.0645 | людей которые        15.5849 | тдтайминг минуткак       inf
открываетсяи дале... -0.0645 | многое другое        15.4850 | продуктатайминг м...     inf
